Sample_name,Manufacturer,Model,Date,CCT,CRI,Rf,Rg,Luminous_efficacy,Dominant_wavelength,Color_purity,Peak_wavelength,FWHM,BLH,xy_coordinates,uv_coordinates,Duv,Luminance
Sample1,Aroosha,Household,2025/25/01,5702.06844781,70.6461188942,77.1907213479,72.3104720734,352.003215637,562.0,0.314357431622,565,182,0.735811953298,[ 0.32687683  0.38512466],"(0.18765150589162735, 0.49745266364343416)",0.0246753823958,82.4216577072
Sample2,Donico,Household,2025/25/01,6578.08053357,72.9866507623,77.8503399757,73.8555068995,332.03267888,540.0,0.147543756262,457,170,0.721833983378,[ 0.30687313  0.35885213],"(0.18341372098721756, 0.48258186989536112)",0.0205966731521,66.6247710931
Sample3,EDC,Household,2025/25/01,6361.93836907,73.6752015407,77.4583207819,73.7516341868,330.974792973,550.0,0.159014367056,460,170,0.741136595515,[ 0.31174746  0.35897178],"(0.18655876586035444, 0.48334314281782992)",0.0180446165255,66.532347869
Sample4,Hadid,Household,2025/25/01,6943.29035302,64.2340587604,69.3363766491,64.7422645476,335.481490486,505.0,0.0633584091645,446,166,0.521832966487,[ 0.30265934  0.33982588],"(0.1870405860330267, 0.47252058686558857)",0.0123624880056,55.617077171
Sample5,HMD,Household,2025/25/01,5765.5394499,70.6601485057,77.7764904445,72.3607964493,351.28669028,561.0,0.291694645102,568,184,0.727027079244,[ 0.32519976  0.38071981],"(0.18802461218207181, 0.49528192076185945)",0.0230955489109,82.1972218922
Sample6,Khazashid,Household,2025/25/01,6113.47887226,72.1614613016,78.3257522964,73.502996762,340.088601007,556.0,0.213352215269,452,180,0.711207067239,[ 0.31678437  0.36775274],"(0.18690820912343353, 0.48820593918164235)",0.0202354852778,74.2603044318
Sample7,OMPg,Household,2025/25/01,5932.02837005,70.43527293,77.5139760068,72.0523882752,350.366275272,559.0,0.265703788131,452,182,0.748366536969,[ 0.320803    0.37715648],"(0.18639764179368742, 0.49306715961245728)",0.0233275858248,81.8624754383
Sample8,Pars novin,Household,2025/25/01,5898.79487133,73.0679645752,79.0934694987,74.3251290584,340.159133631,561.0,0.237886725298,452,183,0.731967686358,[ 0.32206302  0.37028146],"(0.18946969273543904, 0.49013235672934735)",0.018934245746,78.2906678564
Sample9,Parsshoae toos,Household,2025/25/01,5895.74444825,70.6387360335,76.9866038014,71.7725152483,348.420647243,560.0,0.245463544534,453,178,0.679435778024,[ 0.32205385  0.37195304],"(0.18890648062878096, 0.49089543270456609)",0.0198591841042,74.1427807372
Sample10,Saierox,Household,2025/25/01,5985.09197991,71.7934171116,76.4678150701,72.5491597411,344.137328384,558.0,0.250349262848,459,173,0.739902593044,[ 0.31956761  0.37436934],"(0.18651905430645668, 0.4916355051369925)",0.0224320958121,72.7242676565
Sample11,Ramin noor,Household,2025/25/01,11712.7434534,73.4857010231,73.6435271039,68.8578696096,285.360911616,477.0,0.0731909253585,451,134,0.618462594038,[ 0.27018112  0.28297305],"(0.18457155538890033, 0.43494802804647953)",0.000919008907623,40.6154186831
Sample12,Keihan,Household,2025/25/01,3294.22255031,71.3082543924,77.711651466,74.0893189299,376.913189356,579.0,0.715517578561,594,108,0.274460778354,[ 0.43258169  0.43275111],"(0.23613021286458163, 0.53150105945062387)",0.0168738329132,67.8798649466
Sample13,Pars shanaei,Household,2025/25/01,6199.33726537,70.7802250531,77.6984391249,71.8989593529,342.62600127,555.0,0.191828392584,450,181,0.702566359738,[ 0.31501292  0.36410588],"(0.18697224202977283, 0.48624928433459352)",0.019152880876,73.8296086649
Sample14,Pars afrooz,Household,2025/25/01,6037.93701184,73.1751542607,78.2944855012,74.0203113523,340.155483143,558.0,0.221800887859,456,178,0.742962658562,[ 0.31860932  0.36861598],"(0.18779910994566956, 0.48886813827497849)",0.0197701706108,73.8647863809
Sample15,N/A,N/A,N/A,6502.7056681,99.9997234745,99.9924498829,100.000272018,205.152062177,578.0,0.000212048070948,460,388,1.00460161596,[ 0.31272641  0.32902366],"(0.19783948519182573, 0.46833655817330511)",1.13105824228e-05,83.9388848729
